func,duration,bytes
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
bytes,0,1285600016
global,4.50845e+11,0
read_triplets,4.34864e+10,0
triplets_to_map,6.40521e+08,0
build_csr,1.02012e+07,0
read_triplets,3.75782e+10,0
triplets_to_map,8.42843e+08,0
build_csr,197548,0
build_csr,23673,0
build_csr,24059,0
build_csr,23137,0
build_csr,24035,0
build_csr,24116,0
build_csr,23651,0
build_csr,23973,0
build_csr,24060,0
build_csr,24044,0
build_csr,23907,0
build_csr,23960,0
build_csr,24378,0
build_csr,24369,0
build_csr,23942,0
build_csr,24659,0
build_csr,26887,0
build_csr,26079,0
build_csr,27263,0
build_csr,26622,0
build_csr,26540,0
build_csr,24215,0
build_csr,23777,0
build_csr,24367,0
build_csr,25689,0
build_csr,24087,0
build_csr,24116,0
build_csr,24088,0
build_csr,24567,0
build_csr,26203,0
build_csr,25120,0
build_csr,23862,0
build_csr,23911,0
build_csr,25277,0
build_csr,24413,0
build_csr,25225,0
build_csr,180948,0
build_csr,327366,0
build_csr,124946,0
build_csr,23734,0
build_csr,23073,0
build_csr,23622,0
build_csr,23869,0
build_csr,23983,0
build_csr,24123,0
build_csr,24263,0
build_csr,24191,0
build_csr,23844,0
build_csr,24129,0
build_csr,23979,0
build_csr,24192,0
build_csr,24547,0
build_csr,24217,0
build_csr,24308,0
build_csr,97956,0
build_csr,91118,0
build_csr,119424,0
build_csr,159538,0
build_csr,133593,0
build_csr,126416,0
build_csr,233256,0
build_csr,253986,0
build_csr,140784,0
build_csr,100418,0
build_csr,23076,0
build_csr,65396,0
build_csr,167651,0
build_csr,244088,0
build_csr,157009,0
build_csr,157220,0
build_csr,323209,0
build_csr,972596,0
build_csr,1.12075e+06,0
build_csr,491446,0
build_csr,259502,0
build_csr,151843,0
build_csr,247383,0
build_csr,194053,0
build_csr,120193,0
build_csr,223387,0
build_csr,255408,0
build_csr,108013,0
build_csr,23143,0
build_csr,239139,0
build_csr,101499,0
build_csr,141252,0
build_csr,300549,0
build_csr,188537,0
build_csr,169804,0
build_csr,94909,0
build_csr,100070,0
build_csr,403407,0
build_csr,236779,0
build_csr,126065,0
build_csr,23209,0
build_csr,23988,0
build_csr,24266,0
build_csr,23120,0
build_csr,23663,0
build_csr,24005,0
build_csr,23817,0
build_csr,24157,0
build_csr,24010,0
build_csr,24573,0
build_csr,24491,0
build_csr,27888,0
build_csr,121133,0
build_csr,126413,0
build_csr,116807,0
build_csr,109814,0
build_csr,108936,0
build_csr,117898,0
build_csr,117205,0
build_csr,120897,0
build_csr,133468,0
build_csr,103521,0
build_csr,68128,0
build_csr,23567,0
build_csr,23719,0
build_csr,24411,0
build_csr,24176,0
build_csr,23978,0
build_csr,23674,0
build_csr,24193,0
build_csr,24095,0
build_csr,24406,0
build_csr,24320,0
build_csr,24161,0
bitmaps,1.2249e+06,0
filter,314044,0
filter,203809,0
filter,357529,0
filter,286884,0
filter,308192,0
filter,660546,0
filter,406789,0
filter,466218,0
filter,423378,0
filter,407972,0
filter,410624,0
filter,262337,0
filter,279066,0
filter,716350,0
filter,355961,0
filter,381841,0
filter,1.10384e+06,0
filter,2.04746e+06,0
filter,2.58772e+06,0
filter,1.33744e+06,0
filter,1.42241e+06,0
filter,4.21725e+06,0
filter,6.0172e+06,0
filter,5.11372e+06,0
filter,5.43088e+06,0
filter,7.05408e+06,0
filter,9.7267e+06,0
filter,1.34047e+07,0
filter,2.02137e+07,0
filter,1.74015e+07,0
filter,2.28717e+07,0
filter,2.58165e+07,0
filter,2.66775e+07,0
filter,2.41559e+07,0
filter,2.35122e+07,0
filter,2.56661e+07,0
filter,2.18828e+07,0
filter,2.34982e+07,0
filter,2.27169e+07,0
filter,2.55147e+07,0
filter,2.51009e+07,0
filter,1.6092e+07,0
filter,2.19886e+07,0
filter,2.3051e+07,0
filter,1.27871e+07,0
filter,1.87364e+07,0
filter,1.87654e+07,0
filter,1.5477e+07,0
filter,1.32759e+07,0
filter,1.47432e+07,0
filter,1.37347e+07,0
filter,8.53211e+06,0
filter,7.15654e+06,0
filter,9.84412e+06,0
filter,6.49267e+06,0
filter,3.46292e+06,0
filter,1.44088e+06,0
filter,1.08706e+06,0
filter,451566,0
filter,586267,0
filter,351005,0
filter,139454,0
filter,134804,0
filter,58335,0
wait_all,6.26644e+08,0
deserialize,28162,0
mult,3.76384e+06,0
deserialize,16016,0
mult,3.66893e+06,0
deserialize,13782,0
mult,3.66513e+06,0
deserialize,12999,0
mult,3.66555e+06,0
deserialize,12636,0
mult,3.66651e+06,0
deserialize,13128,0
mult,3.6638e+06,0
deserialize,13419,0
mult,3.66598e+06,0
deserialize,12348,0
mult,3.6633e+06,0
deserialize,13039,0
mult,3.66991e+06,0
deserialize,13880,0
mult,3.66781e+06,0
deserialize,13303,0
mult,3.66454e+06,0
deserialize,13109,0
mult,3.65879e+06,0
deserialize,13550,0
mult,3.66678e+06,0
deserialize,13324,0
mult,3.6645e+06,0
deserialize,12908,0
mult,3.66744e+06,0
deserialize,13118,0
mult,3.66811e+06,0
deserialize,13910,0
mult,3.8285e+06,0
deserialize,13796,0
mult,3.73261e+06,0
deserialize,13720,0
mult,3.7823e+06,0
deserialize,14036,0
mult,4.01467e+06,0
deserialize,13834,0
mult,5.06002e+06,0
deserialize,14087,0
mult,8.10587e+06,0
deserialize,16307,0
mult,1.06955e+08,0
deserialize,19946,0
mult,6.24355e+06,0
deserialize,16584,0
mult,1.82741e+07,0
deserialize,17962,0
mult,9.98872e+06,0
deserialize,17156,0
mult,2.6971e+07,0
deserialize,18524,0
mult,8.53514e+06,0
deserialize,16694,0
mult,9.47037e+06,0
deserialize,16703,0
mult,1.38497e+07,0
deserialize,18116,0
mult,2.61934e+07,0
deserialize,18244,0
mult,1.99218e+07,0
deserialize,17982,0
mult,3.22135e+07,0
deserialize,17960,0
mult,4.6314e+07,0
deserialize,19379,0
mult,1.05305e+08,0
deserialize,13533,0
mult,2.31635e+08,0
deserialize,25631,0
mult,3.25272e+08,0
deserialize,23211,0
mult,1.78027e+08,0
deserialize,19716,0
mult,7.98227e+07,0
deserialize,19934,0
mult,3.34781e+07,0
deserialize,18899,0
mult,2.84812e+07,0
deserialize,19247,0
mult,3.03303e+07,0
deserialize,18852,0
mult,4.11559e+07,0
deserialize,19209,0
mult,1.68115e+07,0
deserialize,17553,0
mult,1.01806e+07,0
deserialize,17828,0
mult,6.55642e+06,0
deserialize,16243,0
mult,5.281e+06,0
deserialize,14728,0
mult,8.4515e+06,0
deserialize,15889,0
mult,1.26757e+07,0
deserialize,17715,0
mult,9.544e+06,0
deserialize,16283,0
mult,6.05041e+06,0
deserialize,14716,0
mult,4.41822e+06,0
deserialize,15040,0
mult,4.86096e+06,0
deserialize,15299,0
mult,6.18966e+06,0
deserialize,15498,0
mult,3.83232e+06,0
deserialize,15140,0
mult,3.91574e+06,0
deserialize,13996,0
mult,3.81384e+06,0
deserialize,14375,0
mult,3.66841e+06,0
deserialize,14199,0
mult,3.7463e+06,0
deserialize,14527,0
mult,3.77857e+06,0
deserialize,13629,0
mult,3.76545e+06,0
deserialize,13955,0
mult,3.80132e+06,0
deserialize,13341,0
mult,3.68792e+06,0
deserialize,13337,0
mult,3.70175e+06,0
wait_all,1.09815e+09,0
deserialize,16311,0
mult,3.85207e+06,0
deserialize,13765,0
mult,3.69454e+06,0
deserialize,13595,0
mult,3.70755e+06,0
deserialize,13813,0
mult,3.70492e+06,0
deserialize,13168,0
mult,3.71437e+06,0
deserialize,13335,0
mult,3.70375e+06,0
deserialize,13877,0
mult,3.70882e+06,0
deserialize,13437,0
mult,3.69837e+06,0
deserialize,13437,0
mult,3.69271e+06,0
deserialize,14850,0
mult,3.68165e+06,0
deserialize,13633,0
mult,3.69049e+06,0
deserialize,13033,0
mult,3.69616e+06,0
deserialize,13920,0
mult,3.68494e+06,0
deserialize,13880,0
mult,3.8402e+06,0
deserialize,13567,0
mult,3.77634e+06,0
deserialize,13706,0
mult,3.796e+06,0
deserialize,14031,0
mult,3.90006e+06,0
deserialize,14255,0
mult,3.75757e+06,0
deserialize,13927,0
mult,3.86398e+06,0
deserialize,14248,0
mult,4.02998e+06,0
deserialize,14558,0
mult,4.8599e+06,0
deserialize,13976,0
mult,7.00249e+06,0
deserialize,16114,0
mult,1.31364e+07,0
deserialize,17286,0
mult,1.01222e+07,0
deserialize,17233,0
mult,1.21354e+07,0
deserialize,20321,0
mult,1.18003e+07,0
deserialize,18121,0
mult,5.82804e+06,0
deserialize,15880,0
mult,8.25845e+06,0
deserialize,17156,0
mult,9.53277e+06,0
deserialize,10993,0
mult,1.35844e+07,0
deserialize,19075,0
mult,2.37397e+07,0
deserialize,18421,0
mult,1.87073e+07,0
deserialize,18443,0
mult,3.07385e+07,0
deserialize,33462,0
mult,4.59811e+07,0
deserialize,18066,0
mult,9.42495e+07,0
deserialize,18554,0
mult,2.20665e+08,0
deserialize,22595,0
mult,2.67165e+08,0
deserialize,23247,0
mult,1.4217e+08,0
deserialize,19041,0
mult,6.78802e+07,0
deserialize,20272,0
mult,2.66698e+07,0
deserialize,19241,0
mult,2.41661e+07,0
deserialize,18529,0
mult,2.42984e+07,0
deserialize,18306,0
mult,3.11071e+07,0
deserialize,19280,0
mult,1.31595e+07,0
deserialize,33003,0
mult,9.60562e+06,0
deserialize,18603,0
mult,6.34783e+06,0
deserialize,15937,0
mult,5.13044e+06,0
deserialize,14970,0
mult,7.89974e+06,0
deserialize,17049,0
mult,7.93871e+06,0
deserialize,16607,0
mult,4.62531e+06,0
deserialize,14915,0
mult,4.25224e+06,0
deserialize,14833,0
mult,4.21194e+06,0
deserialize,14520,0
mult,4.71638e+06,0
deserialize,15516,0
mult,5.59982e+06,0
deserialize,14967,0
mult,3.79776e+06,0
deserialize,14604,0
mult,3.87886e+06,0
deserialize,14094,0
mult,3.73874e+06,0
deserialize,14569,0
mult,3.65492e+06,0
deserialize,13775,0
mult,3.65766e+06,0
deserialize,14266,0
mult,3.65313e+06,0
deserialize,13541,0
mult,3.65173e+06,0
deserialize,13187,0
mult,3.65668e+06,0
deserialize,12963,0
mult,3.65492e+06,0
deserialize,13162,0
mult,3.65185e+06,0
wait_all,1.20577e+09,0
deserialize,17553,0
mult,3.80806e+06,0
deserialize,14153,0
mult,3.66223e+06,0
deserialize,14288,0
mult,3.65705e+06,0
deserialize,13992,0
mult,3.66374e+06,0
deserialize,13420,0
mult,3.65908e+06,0
deserialize,14050,0
mult,3.66575e+06,0
deserialize,13686,0
mult,3.65736e+06,0
deserialize,13548,0
mult,3.66253e+06,0
deserialize,14065,0
mult,3.65522e+06,0
deserialize,14146,0
mult,3.66063e+06,0
deserialize,13687,0
mult,3.65146e+06,0
deserialize,13417,0
mult,3.6638e+06,0
deserialize,13435,0
mult,3.6777e+06,0
deserialize,13433,0
mult,3.65538e+06,0
deserialize,13070,0
mult,3.66288e+06,0
deserialize,14168,0
mult,3.66882e+06,0
deserialize,14177,0
mult,3.80652e+06,0
deserialize,14532,0
mult,3.74794e+06,0
deserialize,13833,0
mult,3.77749e+06,0
deserialize,14337,0
mult,3.96503e+06,0
deserialize,13743,0
mult,4.85042e+06,0
deserialize,14520,0
mult,6.95247e+06,0
deserialize,16726,0
mult,5.18959e+06,0
deserialize,15441,0
mult,1.37275e+07,0
deserialize,18416,0
mult,1.21792e+07,0
deserialize,19290,0
mult,1.20892e+07,0
deserialize,18036,0
mult,5.61634e+06,0
deserialize,16191,0
mult,8.24694e+06,0
deserialize,17569,0
mult,9.15692e+06,0
deserialize,16325,0
mult,1.35691e+07,0
deserialize,18913,0
mult,2.38344e+07,0
deserialize,18127,0
mult,1.81763e+07,0
deserialize,18473,0
mult,3.07644e+07,0
deserialize,34595,0
mult,4.58605e+07,0
deserialize,17823,0
mult,9.40418e+07,0
deserialize,18550,0
mult,2.08039e+08,0
deserialize,55099,0
mult,2.67583e+08,0
deserialize,21754,0
mult,1.49102e+08,0
deserialize,19074,0
mult,6.64504e+07,0
deserialize,19101,0
mult,2.66377e+07,0
deserialize,18630,0
mult,2.12414e+07,0
deserialize,18815,0
mult,2.44061e+07,0
deserialize,18159,0
mult,3.12009e+07,0
deserialize,18953,0
mult,1.32329e+07,0
deserialize,49837,0
mult,9.62315e+06,0
deserialize,18744,0
mult,6.36548e+06,0
deserialize,17383,0
mult,5.10112e+06,0
deserialize,15150,0
mult,7.9268e+06,0
deserialize,17023,0
mult,7.92549e+06,0
deserialize,16612,0
mult,4.63457e+06,0
deserialize,14998,0
mult,4.25373e+06,0
deserialize,14781,0
mult,4.21318e+06,0
deserialize,14648,0
mult,4.70281e+06,0
deserialize,15473,0
mult,5.58596e+06,0
deserialize,15075,0
mult,3.79289e+06,0
deserialize,14818,0
mult,3.87518e+06,0
deserialize,14336,0
mult,3.72374e+06,0
deserialize,14438,0
