func,duration,bytes
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
bytes,0,707015024
global,6.13193e+12,0
read_triplets,1.26645e+12,0
triplets_to_map,3.59389e+08,0
build_csr,620158,0
read_triplets,2.72369e+11,0
triplets_to_map,7.51441e+08,0
build_csr,144245,0
build_csr,136438,0
build_csr,136571,0
build_csr,136388,0
build_csr,137880,0
build_csr,136727,0
build_csr,136554,0
build_csr,136688,0
build_csr,136388,0
build_csr,136642,0
build_csr,151195,0
build_csr,136945,0
build_csr,135785,0
build_csr,136323,0
build_csr,136715,0
build_csr,136482,0
build_csr,136652,0
build_csr,136548,0
build_csr,136410,0
build_csr,136495,0
build_csr,136312,0
build_csr,136324,0
build_csr,136008,0
build_csr,141658,0
build_csr,136481,0
build_csr,136397,0
build_csr,136349,0
build_csr,136211,0
build_csr,138051,0
build_csr,136879,0
build_csr,138971,0
build_csr,137804,0
build_csr,136133,0
build_csr,136170,0
build_csr,136630,0
build_csr,136552,0
build_csr,136436,0
build_csr,136144,0
build_csr,139278,0
build_csr,136543,0
build_csr,138007,0
build_csr,136219,0
build_csr,136618,0
build_csr,136784,0
build_csr,136288,0
build_csr,139191,0
build_csr,136098,0
build_csr,136415,0
build_csr,136908,0
build_csr,136340,0
build_csr,136343,0
build_csr,136290,0
build_csr,136498,0
build_csr,136234,0
build_csr,142337,0
build_csr,136535,0
build_csr,137767,0
build_csr,140656,0
build_csr,136545,0
build_csr,136742,0
build_csr,136095,0
build_csr,137792,0
build_csr,136235,0
build_csr,136130,0
build_csr,136435,0
build_csr,136231,0
build_csr,137628,0
build_csr,136438,0
build_csr,135981,0
build_csr,136422,0
build_csr,137914,0
build_csr,136574,0
build_csr,136406,0
build_csr,136008,0
build_csr,137644,0
build_csr,136111,0
build_csr,136731,0
build_csr,136221,0
build_csr,139024,0
build_csr,136180,0
build_csr,137303,0
build_csr,136175,0
build_csr,136215,0
build_csr,136107,0
build_csr,136651,0
build_csr,142888,0
build_csr,136207,0
build_csr,136301,0
build_csr,136098,0
build_csr,136712,0
build_csr,135936,0
build_csr,136530,0
build_csr,136371,0
build_csr,136266,0
build_csr,136544,0
build_csr,136496,0
build_csr,136239,0
build_csr,136678,0
build_csr,137926,0
build_csr,136431,0
build_csr,136907,0
build_csr,136413,0
build_csr,136076,0
build_csr,136415,0
build_csr,136575,0
build_csr,136229,0
build_csr,136275,0
build_csr,136221,0
build_csr,137525,0
build_csr,136541,0
build_csr,136185,0
build_csr,136402,0
build_csr,136309,0
build_csr,142111,0
build_csr,136216,0
build_csr,136192,0
build_csr,136587,0
build_csr,136111,0
build_csr,136287,0
build_csr,136222,0
build_csr,136545,0
build_csr,136330,0
build_csr,136489,0
build_csr,136494,0
build_csr,136329,0
build_csr,136388,0
build_csr,136797,0
build_csr,136824,0
bitmaps,330584,0
filter,5.4192e+06,0
filter,183403,0
filter,123630,0
filter,275186,0
filter,244337,0
filter,242428,0
filter,354530,0
filter,242576,0
filter,308889,0
filter,309656,0
filter,284188,0
filter,290024,0
filter,283346,0
filter,285134,0
filter,315723,0
filter,770009,0
filter,486343,0
filter,484838,0
filter,496557,0
filter,487672,0
filter,496770,0
filter,485031,0
filter,762083,0
filter,602173,0
filter,523904,0
filter,525376,0
filter,535379,0
filter,526629,0
filter,525690,0
filter,524297,0
filter,536129,0
filter,524751,0
filter,523649,0
filter,647585,0
filter,565208,0
filter,937232,0
filter,562986,0
filter,561392,0
filter,565301,0
filter,562465,0
filter,566530,0
filter,560636,0
filter,566199,0
filter,564254,0
filter,680022,0
filter,606240,0
filter,603411,0
filter,568373,0
filter,527572,0
filter,533009,0
filter,488271,0
filter,486482,0
filter,491276,0
filter,533467,0
filter,484285,0
filter,487293,0
filter,284929,0
filter,283515,0
filter,284232,0
filter,284324,0
filter,471084,0
filter,243679,0
filter,251912,0
filter,320310,0
filter,282885,0
filter,244002,0
filter,244343,0
filter,248457,0
filter,242960,0
filter,243586,0
filter,122239,0
filter,123031,0
filter,268346,0
filter,244113,0
filter,242972,0
filter,243387,0
filter,244590,0
filter,243905,0
filter,121242,0
filter,122645,0
filter,120982,0
filter,122047,0
filter,269939,0
filter,243415,0
filter,244207,0
filter,122676,0
filter,122276,0
filter,122614,0
filter,120492,0
filter,122801,0
filter,275261,0
filter,123026,0
filter,120790,0
filter,122587,0
filter,122286,0
filter,124114,0
filter,121092,0
filter,122514,0
filter,42465,0
filter,150440,0
filter,124965,0
filter,122397,0
filter,122297,0
filter,125182,0
filter,123584,0
filter,42580,0
filter,40941,0
filter,154133,0
filter,125158,0
filter,123915,0
filter,123362,0
filter,123587,0
filter,122627,0
filter,42266,0
filter,40714,0
filter,154625,0
filter,122292,0
filter,122476,0
filter,122423,0
filter,123719,0
filter,121079,0
filter,45549,0
filter,163572,0
filter,123655,0
filter,121230,0
filter,125472,0
filter,126228,0
filter,123985,0
filter,121177,0
filter,42593,0
filter,150871,0
filter,122667,0
filter,122063,0
filter,123831,0
filter,122130,0
filter,132068,0
filter,120592,0
filter,42533,0
filter,153766,0
filter,125170,0
filter,123875,0
filter,125008,0
filter,123542,0
filter,123831,0
filter,122493,0
