rank,start_row,end_row,start_col,end_col
0,0,2185,0,2185
1,2185,4370,2185,4370
2,4370,6555,4370,6555
3,6555,8740,6555,8740
4,8740,10925,8740,10925
5,10925,13110,10925,13110
6,13110,15295,13110,15295
7,15295,17480,15295,17480
8,17480,19665,17480,19665
9,19665,21849,19665,21849
10,21849,24033,21849,24033
11,24033,26217,24033,26217
12,26217,28401,26217,28401
13,28401,30585,28401,30585
14,30585,32769,30585,32769
