func,duration,bytes
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
bytes,0,302834888
global,3.01966e+11,0
read_triplets,2.15388e+10,0
triplets_to_map,6.19129e+08,0
build_csr,9.09194e+06,0
read_triplets,1.81419e+10,0
triplets_to_map,7.88083e+08,0
build_csr,121877,0
build_csr,88286,0
build_csr,93589,0
build_csr,89103,0
build_csr,88582,0
build_csr,108796,0
build_csr,90352,0
build_csr,80969,0
build_csr,104844,0
build_csr,82501,0
build_csr,107615,0
build_csr,82962,0
build_csr,79963,0
build_csr,79098,0
build_csr,79838,0
build_csr,52530,0
build_csr,93389,0
build_csr,93416,0
build_csr,90957,0
build_csr,88192,0
build_csr,89197,0
build_csr,86869,0
build_csr,89359,0
build_csr,51829,0
build_csr,89615,0
build_csr,101453,0
build_csr,101919,0
build_csr,85911,0
build_csr,85533,0
build_csr,101333,0
build_csr,103031,0
build_csr,77912,0
build_csr,84572,0
build_csr,89164,0
build_csr,78271,0
build_csr,82586,0
build_csr,52692,0
build_csr,78093,0
build_csr,87243,0
build_csr,98987,0
build_csr,83245,0
build_csr,88271,0
build_csr,83523,0
build_csr,90818,0
build_csr,80909,0
build_csr,79571,0
build_csr,86106,0
build_csr,102704,0
build_csr,81817,0
build_csr,52336,0
build_csr,81952,0
build_csr,111704,0
build_csr,136249,0
build_csr,79199,0
build_csr,108225,0
build_csr,106154,0
build_csr,83038,0
build_csr,80433,0
build_csr,82463,0
build_csr,85128,0
build_csr,100165,0
build_csr,78581,0
build_csr,52882,0
build_csr,99976,0
build_csr,90834,0
build_csr,97914,0
build_csr,78840,0
build_csr,91370,0
build_csr,83698,0
build_csr,86642,0
build_csr,83194,0
build_csr,78937,0
build_csr,79084,0
build_csr,78787,0
build_csr,79111,0
build_csr,109945,0
build_csr,82925,0
build_csr,78850,0
build_csr,116684,0
build_csr,81897,0
build_csr,79670,0
build_csr,117550,0
build_csr,81632,0
build_csr,52282,0
build_csr,80463,0
build_csr,86891,0
build_csr,126090,0
build_csr,78948,0
build_csr,92051,0
build_csr,83749,0
build_csr,82158,0
build_csr,80254,0
build_csr,79760,0
build_csr,83686,0
build_csr,87719,0
build_csr,98747,0
build_csr,120388,0
build_csr,104950,0
build_csr,110897,0
build_csr,100861,0
build_csr,79538,0
build_csr,87401,0
build_csr,100506,0
build_csr,83035,0
build_csr,112081,0
build_csr,79701,0
build_csr,78780,0
build_csr,101047,0
build_csr,80196,0
build_csr,240077,0
build_csr,368317,0
build_csr,769805,0
build_csr,777518,0
build_csr,1.1116e+06,0
build_csr,719524,0
build_csr,752268,0
build_csr,543358,0
build_csr,425405,0
build_csr,158530,0
build_csr,106400,0
build_csr,88040,0
build_csr,88774,0
build_csr,89935,0
build_csr,93274,0
build_csr,90394,0
build_csr,101047,0
build_csr,82476,0
build_csr,78724,0
bitmaps,1.25752e+06,0
filter,196860,0
filter,220461,0
filter,182412,0
filter,388253,0
filter,290726,0
filter,364966,0
filter,521102,0
filter,538004,0
filter,484371,0
filter,489527,0
filter,472418,0
filter,456502,0
filter,454167,0
filter,568722,0
filter,522118,0
filter,460470,0
filter,463478,0
filter,459731,0
filter,459735,0
filter,460364,0
filter,468542,0
filter,461195,0
filter,771605,0
filter,519868,0
filter,482475,0
filter,484295,0
filter,543666,0
filter,513549,0
filter,576810,0
filter,673736,0
filter,551652,0
filter,549421,0
filter,551828,0
filter,528936,0
filter,507096,0
filter,497636,0
filter,1.02769e+06,0
filter,489667,0
filter,534581,0
filter,452464,0
filter,296908,0
filter,277750,0
filter,253113,0
filter,250247,0
filter,289169,0
filter,235879,0
filter,251331,0
filter,250772,0
filter,252184,0
filter,250747,0
filter,242957,0
filter,251562,0
filter,354645,0
filter,4.47548e+06,0
filter,1.27388e+07,0
